"state_fips","state","cases","deaths","pop_total","pop_white","edu_total","edu_hs","edu_ged","edu_bachelors","edu_masters","edu_profschool","edu_phd","income_per_capita","pop_wo_healthcare","percent_minority","top_half_minority","percent_bachelors","top_half_edu","percent_healthcare","top_half_healthcare","cases_per_100000","deaths_per_100000"
31,"Nebraska",278976,2749,1914571,1666871,1251026,283407,43187,262614,96921,22846,16844,32302,153837,12.9376241466104,0,31.9118067889876,1,91.9649362703185,0,14571.2015903302,143.583079447041
32,"Nevada",444855,7513,2972382,1949707,2044695,490303,83951,330222,122034,33877,19558,31557,327013,34.4059074506574,1,24.7318548732207,0,88.9982848772466,0,14966.2795697188,252.760244140894
33,"New Hampshire",131255,1539,1348124,1252128,960337,222457,40864,218013,104407,19451,13866,40003,79069,7.1207099643653,0,37.0429338867502,1,94.1348867018168,1,9736.12219647451,114.158638226157
34,"New Jersey",1185863,27805,8878503,6018074,6146379,1517670,153272,1489653,690446,161719,99133,42745,683679,32.2174695441337,1,39.7136427805705,1,92.2996140227694,1,13356.5647271843,313.172164271387
35,"New Mexico",267909,4975,2092454,1565366,1403371,305538,65800,215662,117424,24942,25491,27230,197607,25.189944438444,1,27.3284113751816,0,90.5562081651496,0,12803.5789556186,237.75910963873
36,"New York",2522102,55664,19572319,12459687,13631937,3002160,539114,2799878,1575714,400322,209893,39326,1117159,36.3402619791758,1,36.5744574670496,1,94.292148007602,1,12886.066285758,284.40165930261
37,"North Carolina",1462963,17713,10264876,7049919,6983859,1491605,299927,1395214,569334,121889,96416,30783,1076994,31.3199789261945,1,31.2556854312208,1,89.5079687275326,0,14252.125403171,172.559317813484
38,"North Dakota",143555,1737,756717,655136,495068,111716,19126,107938,28430,7002,5387,36062,54427,13.4239088060662,0,30.0477914145128,0,92.8074828502597,1,18970.7644998064,229.544202125762
39,"Ohio",1511760,23616,11655397,9476047,7975777,2323276,311721,1401609,628895,135452,89370,31552,702499,18.6982047887344,0,28.2771948112391,0,93.9727578562961,1,12970.4719624737,202.618580902907
40,"Oklahoma",637908,10540,3932870,2844070,2592088,680748,131354,436601,161168,37944,25796,28422,541405,27.68461708625,1,25.5203141251377,0,86.2338444952414,0,16219.9106504919,267.997670912082
41,"Oregon",356061,4275,4129803,3480920,2898950,532852,126233,603359,259292,64154,49115,33763,275522,15.7122022527467,0,33.6646027009779,1,93.3284469017045,1,8621.74297418061,103.515833563974
42,"Pennsylvania",1525813,30815,12791530,10300602,8954232,2757067,349504,1701365,794850,183587,134483,34352,715285,19.4732608218094,0,31.4296636495458,1,94.4081356960426,1,11928.3072470611,240.901596603377
44,"Rhode Island",177804,2871,1057231,850597,737200,174032,34355,150150,72817,16444,12707,36121,46738,19.5448298432414,0,34.1994031470429,1,95.5792064364363,1,16817.8950484804,271.558438978804
45,"South Carolina",890003,13412,5020806,3372011,3446971,850160,153017,614156,263830,52935,38358,29426,515322,32.8392493157473,1,28.1197317877058,0,89.7362694356245,0,17726.297331544,267.12842519707
46,"South Dakota",151971,2214,870638,733719,572393,147794,25285,113870,35812,9183,6215,30773,80727,15.7262834840657,0,28.8403247419168,0,90.7278340711065,0,17455.1306053722,254.29627468592
47,"Tennessee",1242067,15971,6709356,5205132,4587393,1203461,268542,789448,327379,79363,57955,29859,639556,22.4197970714328,0,27.3389482871862,0,90.4676991353567,0,18512.4622989151,238.040729989585
48,"Texas",4194234,70128,28260856,20903375,18131554,3729737,795362,3534714,1380140,297995,207827,31277,4791164,26.034176034866,1,29.896367404581,0,83.0466423239268,0,14841.1428160562,248.145349878999
49,"Utah",537383,3118,3096848,2676482,1824052,362222,54323,410803,150432,33101,26169,29775,289012,13.5739952364469,0,34.0179446638583,1,90.6675432568857,0,17352.5791385305,100.68301705476
50,"Vermont",38090,351,624313,587883,440460,111530,15302,99016,48734,11481,8252,34577,24644,5.83521406730278,0,38.0245652272624,1,96.0526210410483,1,6101.10633608462,56.2217990014624
51,"Virginia",913100,13624,8454463,5717617,5776886,1155096,228673,1272608,711810,147534,108408,39278,707960,32.3716124844357,1,38.7814473056938,1,91.6261979028118,0,10800.2128579899,161.145657624854
53,"Washington",710571,8475,7404107,5581128,5101624,925707,196623,1144545,497712,113613,81742,38915,457854,24.6211865927924,1,36.020137901186,1,93.8162157840237,1,9596.98448442196,114.463499784647
54,"West Virginia",264002,4238,1817305,1691600,1287427,432826,86265,159196,77953,16224,12025,26480,108019,6.91711077667205,0,20.6146057213341,0,94.0560885487026,1,14527.1157015471,233.202461887245
55,"Wisconsin",865319,9226,5790716,4946961,3955705,1073887,138094,780824,294273,68736,47496,33375,310259,14.5708233662297,0,30.1167301403922,0,94.6421306104461,1,14943.2125491908,159.323993785915
56,"Wyoming",99662,1149,581024,531304,390516,93507,20028,68269,28366,5748,4472,33366,65354,8.55730572231095,0,27.3625152362515,0,88.7519276312166,0,17152.819849094,197.754309632649
72,"Puerto Rico",217362,3215,3318447,2188014,2345959,597482,58198,433178,119364,28049,26292,12914,215827,34.0651214257754,1,25.8692926858483,0,93.4961444314163,1,6550.11214583207,96.8826683083985
